Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO,Team,Weather Classified
"Wednesday, May 3",MIN,@,CHW,L,4.0,6.0,9.0,17-14,1.0,up 3.0,Santos,Jax,Middleton,2.7,N,11468.0,1.2,-2,,9.4,54.0,232.9393277,0.0,,20.5,0.1111111111111111,MIN,0
"Thursday, May 4",MIN,@,CHW,W,7.0,3.0,12.0,18-14,1.0,up 3.5,Pagán,Colomé,,3.6166666666666663,D,14650.0,1.18,1,,8.3,68.0,2.939327700000007,0.0,,5.4,0.1111111111111111,MIN,0
"Friday, May 5",MIN,@,CLE,W,2.0,0.0,9.0,19-14,1.0,up 4.0,Ober,Battenfield,Durán,2.183333333333333,N,17849.0,1.31,2,,11.7,64.0,0.7452076999999804,0.0,,0.0,0.037037037037037,MIN,0
"Saturday, May 6",MIN,@,CLE,L,3.0,4.0,9.0,19-15,1.0,up 3.0,Stephan,Alcalá,Clase,2.3833333333333333,N,20795.0,1.29,-1,,13.9,51.0,70.74520769999998,0.0,,13.0,0.1111111111111111,MIN,0
"Sunday, May 7",MIN,@,CLE,L,0.0,2.0,9.0,19-16,1.0,up 2.5,Quantrill,Ryan,Clase,2.15,D,17477.0,1.35,-2,,13.9,77.0,0.7452076999999804,0.0,,0.0,0.1111111111111111,MIN,0
"Tuesday, May 9",MIN,Home,SDP,L,1.0,6.0,9.0,19-17,1.0,up 2.0,Wacha,Jax,,2.6833333333333336,N,16882.0,1.06,-3,,17.8,75.0,29.49605421,0.0,,20.5,0.1111111111111111,MIN,1
"Wednesday, May 10",MIN,Home,SDP,W-wo,4.0,3.0,11.0,20-17,1.0,up 2.5,Jax,Tapia,,2.85,N,18467.0,1.05,1,,16.7,86.0,249.49605421,0.4,,9.4,0.2962962962962963,MIN,1
"Thursday, May 11",MIN,Home,SDP,W,5.0,3.0,9.0,21-17,1.0,up 3.0,Pagán,Honeywell,López,2.5666666666666664,D,23365.0,1.02,2,,21.1,51.0,29.49605421,0.0,,5.4,0.1111111111111111,MIN,2
"Friday, May 12",MIN,Home,CHC,L,2.0,6.0,9.0,21-18,1.0,up 3.0,Smyly,Jax,,2.7,N,30037.0,1.1,-1,,20.6,73.0,269.49605421,0.0,,0.0,0.1111111111111111,MIN,1
"Saturday, May 13",MIN,Home,CHC,W,11.0,1.0,9.0,22-18,1.0,up 3.5,Ryan,Wesneski,,2.8666666666666667,D,32270.0,1.06,1,,18.9,68.0,9.496054209999995,0.0,,7.6,0.1111111111111111,MIN,1
"Sunday, May 14",MIN,Home,CHC,W,16.0,3.0,9.0,23-18,1.0,up 3.5,Varland,Stroman,,2.75,D,33419.0,1.1,2,,15.6,53.0,309.49605421,0.0,,18.4,0.1111111111111111,MIN,0
"Monday, May 15",MIN,@,LAD,L-wo,8.0,9.0,12.0,23-19,1.0,up 3.0,Bickford,López,,3.8,N,49749.0,1.1,-1,,17.2,81.0,243.5154598,0.0,,7.6,0.037037037037037,MIN,1
"Tuesday, May 16",MIN,@,LAD,W,5.0,1.0,9.0,24-19,1.0,up 3.5,Ober,Kershaw,,2.8166666666666664,N,52159.0,1.11,1,,17.2,81.0,243.5154598,0.0,,5.4,0.074074074074074,MIN,1
"Wednesday, May 17",MIN,@,LAD,L,3.0,7.0,9.0,24-20,1.0,up 3.5,Graterol,De León,,2.8166666666666664,D,36434.0,1.15,-1,,15.6,83.0,243.5154598,0.0,,11.2,0.037037037037037,MIN,0
"Friday, May 19",MIN,@,LAA,L,4.0,5.0,9.0,24-21,1.0,up 2.5,Weiss,Jax,Estévez,2.6666666666666665,N,31079.0,1.17,-2,,16.7,84.0,165.82863453,0.0,,9.4,0.037037037037037,MIN,0
"Saturday, May 20",MIN,@,LAA,W,6.0,2.0,9.0,25-21,1.0,up 3.5,Varland,Sandoval,,2.9,N,35688.0,1.13,1,,18.3,78.0,165.82863453,0.0,,9.4,0.1111111111111111,MIN,1
"Sunday, May 21",MIN,@,LAA,L,2.0,4.0,9.0,25-22,1.0,up 3.5,Devenski,López,Estévez,2.6833333333333336,D,42138.0,1.17,-1,,18.3,78.0,155.82863453,0.0,,16.6,0.1111111111111111,MIN,1
"Monday, May 22",MIN,Home,SFG,L,1.0,4.0,9.0,25-23,1.0,up 2.5,Manaea,Ober,Alexander,2.65,N,16627.0,1.02,-2,,19.4,44.0,29.49605421,0.0,,5.4,0.037037037037037,MIN,1
"Tuesday, May 23",MIN,Home,SFG,L,3.0,4.0,9.0,25-24,1.0,up 2.5,Cobb,López,Doval,2.6666666666666665,N,20790.0,1.03,-3,,22.2,40.0,269.49605421,0.0,,0.0,0.037037037037037,MIN,2
"Wednesday, May 24",MIN,Home,SFG,W,7.0,1.0,9.0,26-24,1.0,up 2.5,Ryan,DeSclafani,,2.8666666666666667,D,23464.0,0.96,1,,18.9,56.0,269.49605421,0.0,,0.0,0.037037037037037,MIN,1
"Friday, May 26",MIN,Home,TOR,L,1.0,3.0,9.0,26-25,1.0,up 2.0,Gausman,Varland,Romano,2.7666666666666666,N,25061.0,0.99,-1,,20.0,36.0,49.49605421,0.0,,11.2,0.037037037037037,MIN,1
"Saturday, May 27",MIN,Home,TOR,W,9.0,7.0,9.0,27-25,1.0,up 2.0,López,Bassitt,Stewart,2.833333333333333,D,29111.0,0.92,1,,20.0,26.0,39.49605421,0.0,,11.2,0.037037037037037,MIN,1
"Sunday, May 28",MIN,Home,TOR,L,0.0,3.0,9.0,27-26,1.0,up 1.0,Berríos,Ober,Romano,2.783333333333333,D,31025.0,0.98,-1,,21.7,30.0,39.49605421,0.0,,7.6,0.037037037037037,MIN,2
"Monday, May 29",MIN,@,HOU,W,7.0,5.0,10.0,28-26,1.0,up 2.0,Durán,Abreu,,2.9333333333333336,D,40744.0,1.0,1,,26.0,65.0,166.8261586,0.0,,15.0,0.074074074074074,MIN,3
"Tuesday, May 30",MIN,@,HOU,L,1.0,5.0,9.0,28-27,1.0,up 2.0,Bielak,Ryan,,2.5,N,34604.0,1.03,-1,,26.0,65.0,156.8261586,0.0,,17.0,0.1111111111111111,MIN,3
"Wednesday, May 31",MIN,@,HOU,W,8.0,2.0,9.0,29-27,1.0,up 2.0,Varland,Brown,,2.833333333333333,N,37127.0,0.98,1,,26.0,65.0,166.8261586,0.0,,18.4,0.1111111111111111,MIN,3
"Thursday, Jun 1",MIN,Home,CLE,W-wo,7.0,6.0,9.0,30-27,1.0,up 2.5,Jax,Morgan,,2.5666666666666664,N,16788.0,1.15,2,,26.7,45.0,209.49605421,0.0,,14.8,0.1111111111111111,MIN,3
"Friday, Jun 2",MIN,Home,CLE,W,1.0,0.0,9.0,31-27,1.0,up 3.5,Stewart,Sandlin,Durán,2.55,N,26818.0,1.16,3,,25.6,58.0,39.49605421,0.0,,18.4,0.1111111111111111,MIN,3
"Saturday, Jun 3",MIN,Home,CLE,L,2.0,4.0,9.0,31-28,1.0,up 3.5,Allen,Gray,Clase,2.6,N,27153.0,1.21,-1,,23.3,67.0,269.49605421,0.0,,0.0,0.1111111111111111,MIN,2
"Sunday, Jun 4",MIN,Home,CLE,L,1.0,2.0,9.0,31-29,1.0,up 3.5,Karinchak,Ryan,Clase,2.3,D,23629.0,1.22,-2,,24.4,52.0,269.49605421,0.0,,0.0,0.074074074074074,MIN,2
"Tuesday, Jun 6",MIN,@,TBR,L,0.0,7.0,9.0,31-30,1.0,up 3.5,Eflin,Varland,,2.1166666666666667,N,14689.0,0.93,-3,,27.8,63.0,51.0,0.0,,25.9,0.074074074074074,MIN,3
"Wednesday, Jun 7",MIN,@,TBR,L-wo,1.0,2.0,9.0,31-31,1.0,up 2.5,Adam,Durán,,2.283333333333333,N,10846.0,0.89,-4,,27.2,72.0,201.0,0.0,,7.6,0.037037037037037,MIN,3
"Thursday, Jun 8",MIN,@,TBR,L,2.0,4.0,9.0,31-32,1.0,up 1.5,Chirinos,Ober,Adam,2.1166666666666667,D,12584.0,0.89,-5,,26.7,79.0,181.0,0.0,,7.6,0.074074074074074,MIN,3
"Friday, Jun 9",MIN,@,TOR,W,3.0,2.0,10.0,32-32,1.0,up 1.5,Durán,Cimber,,2.9833333333333334,N,35222.0,0.86,1,,13.5,75.0,344.9095893,0.0,,13.7,0.1111111111111111,MIN,0
"Saturday, Jun 10",MIN,@,TOR,W,9.0,4.0,9.0,33-32,1.0,up 2.5,López,Cimber,,2.7333333333333334,D,41990.0,0.89,2,,18.4,54.0,195.9095893,0.0,,8.6,0.1111111111111111,MIN,1
"Sunday, Jun 11",MIN,@,TOR,L,6.0,7.0,9.0,33-33,1.0,up 1.5,Pearson,Pagán,Romano,3.083333333333333,D,41673.0,0.95,-1,,21.2,54.0,107.9095893,0.0,,13.7,0.1111111111111111,MIN,2
"Tuesday, Jun 13",MIN,Home,MIL,W-wo,7.0,5.0,9.0,34-33,1.0,up 2.5,Winder,Williams,,2.8833333333333333,N,34514.0,0.92,1,,21.7,36.0,189.49605421,0.0,,7.6,0.1111111111111111,MIN,2
"Wednesday, Jun 14",MIN,Home,MIL,W,4.0,2.0,9.0,35-33,1.0,up 3.5,Ober,Rea,Jax,2.3833333333333333,D,32222.0,0.92,2,,23.3,37.0,239.49605421,0.0,,7.6,0.037037037037037,MIN,2
"Thursday, Jun 15",MIN,Home,DET,L,4.0,8.0,9.0,35-34,1.0,up 2.5,Boyd,Morán,,2.5166666666666666,N,27570.0,1.07,-1,,20.6,63.0,269.49605421,0.0,,0.0,0.1851851851851851,MIN,1
"Friday, Jun 16",MIN,Home,DET,L,1.0,7.0,9.0,35-35,1.0,up 2.5,Englert,Ryan,,2.333333333333333,N,27170.0,1.08,-2,,16.7,50.0,329.49605421,0.0,,18.4,0.037037037037037,MIN,0
"Saturday, Jun 17",MIN,Home,DET,W,2.0,0.0,9.0,36-35,1.0,up 3.5,Headrick,Wentz,Durán,2.1,D,26950.0,1.13,1,,18.9,59.0,269.49605421,0.0,,0.0,0.1111111111111111,MIN,1
"Sunday, Jun 18",MIN,Home,DET,L,4.0,6.0,9.0,36-36,1.0,up 2.5,White,Varland,Foley,2.8,D,31221.0,1.15,-1,,25.6,39.0,49.49605421,0.0,,14.8,0.1111111111111111,MIN,3
"Monday, Jun 19",MIN,Home,BOS,L,3.0,9.0,9.0,36-37,1.0,up 2.0,Paxton,López,,2.833333333333333,N,22081.0,0.92,-2,,21.1,78.0,29.49605421,0.0,,9.4,0.6296296296296297,MIN,2
"Tuesday, Jun 20",MIN,Home,BOS,L,4.0,10.0,9.0,36-38,1.0,up 1.0,Crawford,Ober,Kluber,2.6166666666666667,N,22650.0,0.9,-3,,27.8,55.0,39.49605421,0.0,,14.8,0.037037037037037,MIN,3
"Wednesday, Jun 21",MIN,Home,BOS,W-wo,5.0,4.0,10.0,37-38,1.0,up 1.0,Morán,Ort,,2.8833333333333333,N,23912.0,0.84,1,,28.3,40.0,39.49605421,0.0,,13.0,0.037037037037037,MIN,3
"Thursday, Jun 22",MIN,Home,BOS,W,6.0,0.0,9.0,38-38,1.0,up 1.0,Ryan,Garza,,2.25,D,28553.0,0.86,2,,29.4,40.0,49.49605421,0.0,,13.0,0.074074074074074,MIN,3
"Friday, Jun 23",MIN,@,DET,W,4.0,1.0,9.0,39-38,1.0,up 2.0,Maeda,Wentz,Durán,2.783333333333333,N,19782.0,1.08,3,,20.7,68.0,288.7729507,0.0,,11.0,0.1111111111111111,MIN,2
"Saturday, Jun 24",MIN,@,DET,L,2.0,3.0,9.0,39-39,1.0,up 1.0,Olson,López,Lange,2.9833333333333334,N,24403.0,1.09,-1,,19.2,94.0,208.7729507,0.0,,0.0,0.1111111111111111,MIN,1
"Sunday, Jun 25",MIN,@,DET,W,6.0,3.0,10.0,40-39,1.0,up 2.0,Jax,White,Durán,3.183333333333333,D,21585.0,1.08,1,,22.3,82.0,78.7729507,0.0,,5.0,0.074074074074074,MIN,2
"Monday, Jun 26",MIN,@,ATL,L,1.0,4.0,9.0,40-40,1.0,up 1.5,Strider,Gray,Yates,2.3833333333333333,N,40884.0,0.98,-1,,20.0,93.0,62.35312999999999,0.5,,7.6,0.1111111111111111,MIN,1
"Tuesday, Jun 27",MIN,@,ATL,L,2.0,6.0,9.0,40-41,1.0,up 0.5,Elder,Ryan,,2.5666666666666664,N,42635.0,0.9,-2,,26.1,72.0,112.35313,0.0,,7.6,0.037037037037037,MIN,3
"Wednesday, Jun 28",MIN,@,ATL,L,0.0,3.0,9.0,40-42,2.0,0.5,Yates,Maeda,Iglesias,2.4,D,38260.0,0.91,-3,,23.3,71.0,202.35313,0.0,,0.0,0.037037037037037,MIN,2
"Friday, Jun 30",MIN,@,BAL,W,8.0,1.0,9.0,41-42,1.0,up 1.0,López,Kremer,,2.833333333333333,N,34792.0,0.91,1,,24.4,62.0,157.66021454,0.0,,9.0,0.037037037037037,MIN,2
"Saturday, Jul 1",MIN,@,BAL,W,1.0,0.0,9.0,42-42,1.0,up 1.0,Ober,Bradish,Durán,2.333333333333333,D,40012.0,0.96,2,,23.3,82.0,146.66021454,0.0,,13.3,0.074074074074074,MIN,2
"Sunday, Jul 2",MIN,@,BAL,L,1.0,2.0,9.0,42-43,1.0,Tied,Pérez,Durán,Bautista,2.6666666666666665,D,16299.0,0.98,-1,,25.0,79.0,131.66021454,0.0,,20.9,0.1111111111111111,MIN,3
"Monday, Jul 3",MIN,Home,KCR,W,8.0,4.0,9.0,43-43,1.0,up 1.0,Headrick,Clarke,,2.7333333333333334,N,28218.0,0.89,1,,26.1,52.0,269.49605421,0.0,,0.0,0.074074074074074,MIN,3
"Tuesday, Jul 4",MIN,Home,KCR,W,9.0,3.0,9.0,44-43,1.0,up 1.0,Maeda,Greinke,,2.333333333333333,D,25033.0,0.98,2,,26.1,62.0,359.49605421,0.0,,13.0,0.1111111111111111,MIN,3
"Wednesday, Jul 5",MIN,Home,KCR,W,5.0,0.0,9.0,45-43,1.0,up 2.0,López,Marsh,,2.283333333333333,N,19692.0,1.01,3,,25.0,69.0,239.49605421,0.0,,20.5,0.3333333333333333,MIN,3
"Friday, Jul 7",MIN,Home,BAL,L,1.0,3.0,10.0,45-44,1.0,up 0.5,Bautista,Durán,,2.9333333333333336,N,32724.0,1.06,-1,,21.1,41.0,189.49605421,0.0,,5.4,0.037037037037037,MIN,2
"Saturday, Jul 8",MIN,Home,BAL,L,2.0,6.0,9.0,45-45,2.0,0.5,Wells,Gray,,2.45,D,27617.0,1.03,-2,,21.1,55.0,139.49605421,0.0,,13.0,0.1111111111111111,MIN,2
"Sunday, Jul 9",MIN,Home,BAL,L,2.0,15.0,9.0,45-46,2.0,0.5,Gibson,Ryan,,2.95,D,27100.0,0.99,-3,,21.7,41.0,219.49605421,0.0,,11.2,0.037037037037037,MIN,2
"Friday, Jul 14",MIN,@,OAK,W,5.0,4.0,9.0,46-46,1.0,up 0.5,Jax,Fujinami,Durán,3.466666666666667,N,7923.0,0.93,1,,15.6,80.0,225.48883674,0.0,,20.5,0.037037037037037,MIN,0
"Saturday, Jul 15",MIN,@,OAK,W,10.0,7.0,9.0,47-46,1.0,up 1.5,Morán,Tarnok,Durán,3.1,D,10534.0,0.98,2,,15.0,87.0,245.48883674,0.0,,20.5,0.037037037037037,MIN,0
"Sunday, Jul 16",MIN,@,OAK,W,5.0,4.0,9.0,48-46,1.0,up 2.5,López,Erceg,Durán,2.8,D,9335.0,1.03,3,,20.6,63.0,235.48883674,0.0,,18.4,0.037037037037037,MIN,1
"Monday, Jul 17",MIN,@,SEA,L,6.0,7.0,9.0,48-47,1.0,up 1.5,Gilbert,Gray,Sewald,2.966666666666667,N,25770.0,1.09,-1,,26.7,42.0,90.69115924,0.0,,9.4,0.1111111111111111,MIN,3
"Tuesday, Jul 18",MIN,@,SEA,W,10.0,3.0,9.0,49-47,1.0,up 1.5,Ober,Woo,,3.033333333333333,N,28141.0,1.04,1,,19.4,57.0,334.69115924,0.0,,7.6,0.037037037037037,MIN,1
"Wednesday, Jul 19",MIN,@,SEA,W,6.0,3.0,9.0,50-47,1.0,up 2.5,Pagán,Muñoz,Durán,2.7,N,25825.0,1.07,2,,25.0,39.0,270.69115924,0.0,,13.0,0.037037037037037,MIN,3
"Thursday, Jul 20",MIN,@,SEA,L,0.0,5.0,9.0,50-48,1.0,up 2.0,Kirby,López,,2.583333333333333,D,29443.0,1.07,-1,,27.2,42.0,250.69115924,0.0,,13.0,0.037037037037037,MIN,3
"Friday, Jul 21",MIN,Home,CHW,W,9.0,4.0,9.0,51-48,1.0,up 2.0,Ryan,Lynn,,2.333333333333333,N,31339.0,1.09,1,,20.6,70.0,249.49605421,0.0,,5.4,0.037037037037037,MIN,1
"Saturday, Jul 22",MIN,Home,CHW,W,3.0,2.0,9.0,52-48,1.0,up 2.0,Balazovic,Middleton,Durán,2.65,N,30894.0,1.11,2,,23.3,56.0,269.49605421,0.0,,0.0,0.074074074074074,MIN,2
"Sunday, Jul 23",MIN,Home,CHW,W-wo,5.0,4.0,12.0,53-48,1.0,up 3.0,Pagán,Scholtens,,3.466666666666667,D,29001.0,1.14,3,,20.6,78.0,269.49605421,0.0,,0.0,0.037037037037037,MIN,1
"Monday, Jul 24",MIN,Home,SEA,W-wo,4.0,3.0,10.0,54-48,1.0,up 4.0,López,Sewald,,2.6166666666666667,N,22969.0,1.12,4,,22.2,64.0,269.49605421,0.0,,0.0,0.1851851851851851,MIN,2
"Tuesday, Jul 25",MIN,Home,SEA,L,7.0,9.0,9.0,54-49,1.0,up 3.0,Brash,Ortega,Sewald,2.9166666666666665,N,26824.0,1.12,-1,,24.4,82.0,269.49605421,0.0,,0.0,0.074074074074074,MIN,2
"Wednesday, Jul 26",MIN,Home,SEA,L,7.0,8.0,9.0,54-50,1.0,up 2.0,Miller,Ryan,Muñoz,2.6833333333333336,D,25728.0,1.12,-2,,30.0,55.0,49.49605421,0.0,,9.4,0.1111111111111111,MIN,3
"Friday, Jul 28",MIN,@,KCR,L-wo,5.0,8.0,10.0,54-51,1.0,up 1.5,Clarke,Durán,,3.283333333333333,N,23022.0,1.04,-3,,30.0,61.0,153.28981806000002,0.0,,20.5,0.037037037037037,MIN,3
"Saturday, Jul 29",MIN,@,KCR,L,7.0,10.0,9.0,54-52,1.0,up 1.5,Lyles,Ober,Barlow,3.216666666666667,N,20643.0,1.06,-4,,32.8,47.0,163.28981806000002,0.0,,20.5,0.074074074074074,MIN,3
"Sunday, Jul 30",MIN,@,KCR,L,1.0,2.0,9.0,54-53,1.0,up 0.5,Yarbrough,Maeda,Hernández,2.4166666666666665,D,13752.0,1.04,-5,,25.0,82.0,303.28981806,0.0,,7.6,0.037037037037037,MIN,3
"Tuesday, Aug 1",MIN,@,STL,W,3.0,2.0,9.0,55-53,1.0,up 2.0,López,Mikolas,Durán,2.583333333333333,N,37162.0,1.0,1,,22.8,87.0,297.30370856,0.0,,0.0,0.1111111111111111,MIN,2
"Wednesday, Aug 2",MIN,@,STL,L,3.0,7.0,9.0,55-54,1.0,up 2.0,Hudson,Ryan,,2.3833333333333333,N,34332.0,1.0,-1,,25.6,69.0,67.30370855999999,0.0,,7.6,0.074074074074074,MIN,3
"Thursday, Aug 3",MIN,@,STL,W,5.0,3.0,9.0,56-54,1.0,up 2.5,Gray,Liberatore,Durán,2.533333333333333,N,36949.0,0.99,1,,25.6,82.0,47.30370856,0.0,,11.2,0.2962962962962963,MIN,3
"Friday, Aug 4",MIN,Home,ARI,W,3.0,2.0,9.0,57-54,1.0,up 2.5,Thielbar,McGough,Durán,2.783333333333333,N,29408.0,0.99,2,,23.9,76.0,359.49605421,0.0,,7.6,0.074074074074074,MIN,2
"Saturday, Aug 5",MIN,Home,ARI,W,12.0,1.0,9.0,58-54,1.0,up 3.5,Maeda,Nelson,,2.466666666666667,N,34044.0,1.02,3,,26.1,60.0,9.496054209999995,0.0,,7.6,0.1111111111111111,MIN,3
"Sunday, Aug 6",MIN,Home,ARI,W-wo,5.0,3.0,9.0,59-54,1.0,up 4.5,Thielbar,Sewald,,2.6666666666666665,D,24778.0,0.98,4,,25.0,60.0,359.49605421,0.0,,9.4,0.1111111111111111,MIN,3
"Monday, Aug 7",MIN,@,DET,W,9.0,3.0,9.0,60-54,1.0,up 5.5,López,Wentz,,2.6333333333333333,N,13779.0,0.96,5,,21.0,94.0,68.7729507,0.0,,13.0,0.1851851851851851,MIN,2
"Tuesday, Aug 8",MIN,@,DET,L,0.0,6.0,9.0,60-55,1.0,up 4.5,Rodríguez,Gray,,2.4166666666666665,N,16588.0,0.87,-1,,19.0,78.0,178.7729507,0.0,,9.4,0.037037037037037,MIN,1
"Wednesday, Aug 9",MIN,@,DET,L,5.0,9.0,9.0,60-56,1.0,up 4.5,Holton,Ober,Cisnero,2.9166666666666665,N,16570.0,0.89,-2,,21.0,78.0,98.7729507,0.0,,9.4,0.074074074074074,MIN,2
"Thursday, Aug 10",MIN,@,DET,L,0.0,3.0,9.0,60-57,1.0,up 3.5,Olson,Maeda,Brieske,2.35,D,18709.0,0.93,-3,,22.0,83.0,78.7729507,0.0,,9.4,0.1111111111111111,MIN,2
"Friday, Aug 11",MIN,@,PHI,L,2.0,13.0,9.0,60-58,1.0,up 3.5,Sánchez,Keuchel,,2.7666666666666666,N,33071.0,0.85,-4,,23.3,82.0,259.92948032,0.0,,9.4,0.1111111111111111,MIN,2
"Saturday, Aug 12",MIN,@,PHI,W,8.0,1.0,9.0,61-58,1.0,up 4.5,López,Walker,,3.0,N,40117.0,0.82,1,,23.3,71.0,349.92948032,0.0,,0.0,0.074074074074074,MIN,2
"Sunday, Aug 13",MIN,@,PHI,W,3.0,0.0,9.0,62-58,1.0,up 4.5,Gray,Suárez,Durán,2.6666666666666665,D,40111.0,0.77,2,,25.0,82.0,349.92948032,0.0,,0.0,0.1111111111111111,MIN,3
"Tuesday, Aug 15",MIN,Home,DET,W,5.0,3.0,9.0,63-58,1.0,up 4.5,Floro,Cisnero,Durán,2.6,N,30150.0,0.91,3,,17.8,75.0,229.49605421,0.0,,5.4,0.037037037037037,MIN,1
"Wednesday, Aug 16",MIN,Home,DET,L,7.0,8.0,9.0,63-59,1.0,up 4.5,Holton,Jax,,3.183333333333333,D,26716.0,0.83,-1,,22.2,68.0,109.49605421,0.0,,9.4,0.1111111111111111,MIN,2
"Friday, Aug 18",MIN,Home,PIT,W,5.0,1.0,9.0,64-59,1.0,up 5.0,López,Jackson,,2.833333333333333,N,30687.0,0.77,1,,19.4,61.0,179.49605421,0.0,,7.6,0.037037037037037,MIN,1
"Saturday, Aug 19",MIN,Home,PIT,L,4.0,7.0,9.0,64-60,1.0,up 5.0,Keller,Gray,Bednar,3.083333333333333,N,23822.0,0.75,-1,,22.2,57.0,79.49605421,0.0,,14.8,0.1111111111111111,MIN,2
"Sunday, Aug 20",MIN,Home,PIT,W,2.0,0.0,9.0,65-60,1.0,up 6.0,Keuchel,Bido,Durán,2.3666666666666667,D,25987.0,0.74,1,,25.6,85.0,269.49605421,0.0,,0.0,0.074074074074074,MIN,3
"Tuesday, Aug 22",MIN,@,MIL,L,3.0,7.0,9.0,65-61,1.0,up 5.0,Wilson,Floro,,2.55,N,38688.0,0.67,-1,,20.6,87.0,251.1462953,0.0,,16.6,0.1111111111111111,MIN,2
"Wednesday, Aug 23",MIN,@,MIL,L-wo,7.0,8.0,10.0,65-62,1.0,up 5.0,Peguero,Durán,,3.5,D,38164.0,0.76,-2,,23.3,79.0,41.14629529999999,0.0,,9.4,0.074074074074074,MIN,2
"Thursday, Aug 24",MIN,Home,TEX,W,7.0,5.0,9.0,66-62,1.0,up 6.0,Winder,Sborz,Jax,2.55,N,23333.0,0.78,1,,26.7,82.0,329.49605421,0.0,,9.4,0.037037037037037,MIN,3
"Friday, Aug 25",MIN,Home,TEX,W,12.0,2.0,9.0,67-62,1.0,up 6.0,Gray,Dunning,,2.4166666666666665,N,25144.0,0.71,2,,23.9,82.0,329.49605421,0.0,,7.6,0.037037037037037,MIN,2
"Saturday, Aug 26",MIN,Home,TEX,L,2.0,6.0,9.0,67-63,1.0,up 6.0,Burke,Jax,,2.7,N,25843.0,0.75,-1,,23.3,50.0,269.49605421,0.0,,9.4,0.037037037037037,MIN,2
"Sunday, Aug 27",MIN,Home,TEX,W-wo,7.0,6.0,13.0,68-63,1.0,up 6.0,Floro,Hernández,,4.166666666666667,D,24431.0,0.64,1,,17.2,67.0,309.49605421,0.0,,7.6,0.037037037037037,MIN,1
"Monday, Aug 28",MIN,Home,CLE,W,10.0,6.0,9.0,69-63,1.0,up 7.0,Funderburk,Curry,Winder,2.6,N,20323.0,0.95,2,,19.4,68.0,109.49605421,0.0,,7.6,0.074074074074074,MIN,1
"Tuesday, Aug 29",MIN,Home,CLE,L,2.0,4.0,9.0,69-64,1.0,up 6.0,Gaddis,López,Clase,2.7666666666666666,N,23433.0,0.72,-1,,24.4,67.0,299.49605421,0.0,,7.6,0.037037037037037,MIN,2
"Wednesday, Aug 30",MIN,Home,CLE,L,2.0,5.0,10.0,69-65,1.0,up 5.0,Stephan,Pagán,Clase,3.1666666666666665,D,20169.0,0.99,-2,,22.2,59.0,359.49605421,0.0,,7.6,0.037037037037037,MIN,2
"Friday, Sep 1",MIN,@,TEX,W,5.0,1.0,9.0,70-65,1.0,up 5.0,Ryan,Burke,,2.3,N,26940.0,0.67,1,,31.7,32.0,67.19716629,0.0,,11.2,0.037037037037037,MIN,3
"Saturday, Sep 2",MIN,@,TEX,W,9.0,7.0,10.0,71-65,1.0,up 5.0,Headrick,Chapman,Durán,3.3833333333333333,N,36555.0,0.69,2,,30.0,36.0,67.19716629,0.0,,14.8,0.037037037037037,MIN,3
"Sunday, Sep 3",MIN,@,TEX,L-wo,5.0,6.0,9.0,71-66,1.0,up 5.0,Bradford,Winder,,3.1,D,35531.0,0.67,-1,,30.0,29.0,37.19716629,0.0,,5.4,0.074074074074074,MIN,3
"Monday, Sep 4",MIN,@,CLE,W,20.0,6.0,9.0,72-66,1.0,up 6.0,López,Giolito,,2.9333333333333336,N,17359.0,1.15,1,,27.2,67.0,210.7452077,0.0,,20.5,0.037037037037037,MIN,3
"Tuesday, Sep 5",MIN,@,CLE,W,8.0,3.0,9.0,73-66,1.0,up 7.0,Jax,Stephan,,3.066666666666667,N,20224.0,0.75,2,,26.7,67.0,160.74520769999998,0.0,,11.2,0.037037037037037,MIN,3
"Wednesday, Sep 6",MIN,@,CLE,L,1.0,2.0,9.0,73-67,1.0,up 6.0,Williams,Ryan,Clase,2.466666666666667,D,16148.0,0.49,-1,,28.3,65.0,150.74520769999998,0.0,,9.4,0.037037037037037,MIN,3
"Friday, Sep 8",MIN,Home,NYM,W,5.0,2.0,9.0,74-67,1.0,up 6.5,Thielbar,Reid-Foley,Durán,2.5666666666666664,N,26154.0,0.32,1,,13.3,80.0,269.49605421,0.0,,0.0,0.1111111111111111,MIN,0
"Saturday, Sep 9",MIN,Home,NYM,W,8.0,4.0,9.0,75-67,1.0,up 7.5,Maeda,Peterson,,2.6333333333333333,D,30673.0,0.33,2,,17.8,68.0,269.49605421,0.0,,0.0,0.074074074074074,MIN,1
"Sunday, Sep 10",MIN,Home,NYM,L,0.0,2.0,9.0,75-68,1.0,up 7.5,Raley,Jax,Ottavino,2.7666666666666666,D,22890.0,0.24,-1,,17.8,84.0,259.49605421,0.0,,7.6,0.1111111111111111,MIN,1
"Monday, Sep 11",MIN,Home,TBR,L,4.0,7.0,9.0,75-69,1.0,up 7.5,Glasnow,Gray,Fairbanks,3.183333333333333,N,18683.0,0.18,-2,,14.4,70.0,269.49605421,0.0,,0.0,0.037037037037037,MIN,0
